start,end,classify
625.25,625.75,traffic
625.5,626,other
625.75,626.25,other
626,626.5,traffic
626.25,626.75,other
626.5,627,traffic
626.75,627.25,other
627,627.5,traffic
627.25,627.75,traffic
627.5,628,traffic
627.75,628.25,traffic
628,628.5,traffic
628.25,628.75,traffic
628.5,629,other
628.75,629.25,other
629,629.5,traffic
629.25,629.75,other
629.5,630,traffic
629.75,630.25,traffic
630,630.5,other
630.25,630.75,traffic
630.5,631,traffic
630.75,631.25,traffic
631,631.5,other
631.25,631.75,traffic
631.5,632,traffic
631.75,632.25,traffic
632,632.5,traffic
632.25,632.75,traffic
632.5,633,traffic
632.75,633.25,other
633,633.5,traffic
633.25,633.75,traffic
633.5,634,traffic
633.75,634.25,other
634,634.5,traffic
634.25,634.75,other
634.5,635,traffic
634.75,635.25,traffic
635,635.5,traffic
635.25,635.75,other
635.5,636,traffic
635.75,636.25,traffic
636,636.5,traffic
636.25,636.75,traffic
636.5,637,traffic
636.75,637.25,traffic
637,637.5,other
637.25,637.75,traffic
637.5,638,other
637.75,638.25,other
638,638.5,traffic
638.25,638.75,traffic
638.5,639,traffic
638.75,639.25,traffic
639,639.5,traffic
639.25,639.75,other
639.5,640,traffic
639.75,640.25,other
640,640.5,traffic
640.25,640.75,traffic
640.5,641,traffic
640.75,641.25,other
641,641.5,other
641.25,641.75,other
641.5,642,other
641.75,642.25,other
642,642.5,traffic
642.25,642.75,traffic
642.5,643,traffic
642.75,643.25,other
643,643.5,traffic
643.25,643.75,traffic
643.5,644,traffic
643.75,644.25,other
644,644.5,other
644.25,644.75,traffic
644.5,645,other
644.75,645.25,traffic
645,645.5,traffic
645.25,645.75,traffic
645.5,646,traffic
645.75,646.25,traffic
646,646.5,traffic
646.25,646.75,traffic
646.5,647,traffic
646.75,647.25,other
647,647.5,traffic
647.25,647.75,traffic
647.5,648,other
647.75,648.25,traffic
648,648.5,other
648.25,648.75,traffic
648.5,649,other
648.75,649.25,traffic
649,649.5,other
649.25,649.75,traffic
649.5,650,traffic
649.75,650.25,traffic
650,650.5,traffic
650.25,650.75,traffic
650.5,651,traffic
650.75,651.25,traffic
651,651.5,traffic
651.25,651.75,traffic
651.5,652,traffic
651.75,652.25,other
652,652.5,traffic
652.25,652.75,traffic
652.5,653,traffic
652.75,653.25,human
653,653.5,other
653.25,653.75,traffic
653.5,654,other
653.75,654.25,other
654,654.5,traffic
654.25,654.75,traffic
654.5,655,other
654.75,655.25,traffic
655,655.5,traffic
655.25,655.75,traffic
655.5,656,traffic
655.75,656.25,traffic
656,656.5,traffic
656.25,656.75,traffic
656.5,657,other
656.75,657.25,traffic
657,657.5,traffic
657.25,657.75,traffic
657.5,658,traffic
657.75,658.25,traffic
658,658.5,traffic
658.25,658.75,traffic
658.5,659,traffic
658.75,659.25,traffic
659,659.5,traffic
659.25,659.75,traffic
659.5,660,traffic
659.75,660.25,traffic
660,660.5,other
660.25,660.75,other
660.5,661,traffic
660.75,661.25,traffic
661,661.5,other
661.25,661.75,other
661.5,662,traffic
661.75,662.25,traffic
662,662.5,traffic
662.25,662.75,traffic
662.5,663,traffic
662.75,663.25,traffic
663,663.5,traffic
663.25,663.75,other
663.5,664,traffic
663.75,664.25,traffic
664,664.5,other
664.25,664.75,traffic
664.5,665,traffic
664.75,665.25,traffic
665,665.5,traffic
665.25,665.75,traffic
665.5,666,traffic
665.75,666.25,traffic
666,666.5,traffic
666.25,666.75,traffic
666.5,667,traffic
666.75,667.25,traffic
667,667.5,traffic
667.25,667.75,traffic
667.5,668,traffic
667.75,668.25,traffic
668,668.5,traffic
668.25,668.75,traffic
668.5,669,traffic
668.75,669.25,traffic
669,669.5,traffic
669.25,669.75,traffic
669.5,670,traffic
669.75,670.25,other
670,670.5,other
670.25,670.75,traffic
670.5,671,traffic
670.75,671.25,traffic
671,671.5,traffic
671.25,671.75,other
671.5,672,traffic
671.75,672.25,traffic
672,672.5,traffic
672.25,672.75,traffic
672.5,673,traffic
672.75,673.25,traffic
673,673.5,traffic
673.25,673.75,other
673.5,674,traffic
673.75,674.25,traffic
674,674.5,traffic
674.25,674.75,traffic
674.5,675,other
674.75,675.25,traffic
675,675.5,traffic
675.25,675.75,traffic
675.5,676,other
675.75,676.25,traffic
676,676.5,traffic
676.25,676.75,traffic
676.5,677,traffic
676.75,677.25,traffic
677,677.5,traffic
677.25,677.75,other
677.5,678,traffic
677.75,678.25,traffic
678,678.5,traffic
678.25,678.75,other
678.5,679,traffic
678.75,679.25,traffic
679,679.5,traffic
679.25,679.75,traffic
679.5,680,traffic
679.75,680.25,traffic
680,680.5,traffic
680.25,680.75,other
680.5,681,traffic
680.75,681.25,traffic
681,681.5,traffic
681.25,681.75,traffic
681.5,682,traffic
681.75,682.25,traffic
682,682.5,traffic
682.25,682.75,other
682.5,683,traffic
682.75,683.25,traffic
683,683.5,traffic
683.25,683.75,traffic
683.5,684,traffic
683.75,684.25,traffic
684,684.5,traffic
684.25,684.75,traffic
684.5,685,traffic
684.75,685.25,traffic
685,685.5,traffic
685.25,685.75,traffic
685.5,686,traffic
685.75,686.25,traffic
686,686.5,traffic
686.25,686.75,traffic
686.5,687,other
686.75,687.25,traffic
687,687.5,traffic
687.25,687.75,traffic
687.5,688,traffic
687.75,688.25,traffic
688,688.5,traffic
688.25,688.75,traffic
688.5,689,traffic
688.75,689.25,traffic
689,689.5,traffic
689.25,689.75,traffic
689.5,690,traffic
689.75,690.25,traffic
690,690.5,traffic
690.25,690.75,traffic
690.5,691,traffic
690.75,691.25,traffic
691,691.5,traffic
691.25,691.75,other
691.5,692,traffic
691.75,692.25,other
692,692.5,traffic
692.25,692.75,traffic
692.5,693,traffic
692.75,693.25,other
693,693.5,other
693.25,693.75,other
693.5,694,traffic
693.75,694.25,other
694,694.5,other
694.25,694.75,traffic
694.5,695,traffic
694.75,695.25,traffic
695,695.5,other
695.25,695.75,traffic
695.5,696,traffic
695.75,696.25,traffic
696,696.5,traffic
696.25,696.75,traffic
696.5,697,other
696.75,697.25,other
697,697.5,traffic
697.25,697.75,traffic
697.5,698,other
697.75,698.25,traffic
698,698.5,traffic
698.25,698.75,traffic
698.5,699,other
698.75,699.25,traffic
699,699.5,traffic
699.25,699.75,traffic
699.5,700,traffic
699.75,700.25,other
700,700.5,traffic
700.25,700.75,traffic
700.5,701,traffic
700.75,701.25,traffic
701,701.5,other
701.25,701.75,traffic
701.5,702,other
701.75,702.25,traffic
702,702.5,traffic
702.25,702.75,traffic
702.5,703,traffic
702.75,703.25,other
703,703.5,traffic
703.25,703.75,other
703.5,704,other
703.75,704.25,other
704,704.5,other
704.25,704.75,traffic
704.5,705,traffic
704.75,705.25,traffic
705,705.5,other
705.25,705.75,traffic
705.5,706,other
705.75,706.25,traffic
706,706.5,traffic
706.25,706.75,other
706.5,707,other
706.75,707.25,traffic
707,707.5,traffic
707.25,707.75,other
707.5,708,traffic
707.75,708.25,traffic
708,708.5,traffic
708.25,708.75,traffic
708.5,709,traffic
708.75,709.25,traffic
709,709.5,other
709.25,709.75,traffic
709.5,710,other
709.75,710.25,other
710,710.5,other
710.25,710.75,other
710.5,711,other
710.75,711.25,other
711,711.5,traffic
711.25,711.75,other
711.5,712,other
711.75,712.25,other
712,712.5,traffic
712.25,712.75,traffic
712.5,713,other
712.75,713.25,other
713,713.5,other
713.25,713.75,other
713.5,714,traffic
713.75,714.25,traffic
714,714.5,traffic
714.25,714.75,other
714.5,715,traffic
714.75,715.25,traffic
715,715.5,traffic
715.25,715.75,traffic
715.5,716,traffic
715.75,716.25,traffic
716,716.5,traffic
716.25,716.75,traffic
716.5,717,other
716.75,717.25,traffic
717,717.5,traffic
717.25,717.75,traffic
717.5,718,traffic
717.75,718.25,traffic
718,718.5,traffic
718.25,718.75,traffic
718.5,719,traffic
718.75,719.25,traffic
719,719.5,traffic
719.25,719.75,traffic
719.5,720,traffic
719.75,720.25,traffic
720,720.5,traffic
720.25,720.75,traffic
720.5,721,traffic
720.75,721.25,traffic
721,721.5,traffic
721.25,721.75,traffic
721.5,722,traffic
721.75,722.25,traffic
722,722.5,traffic
722.25,722.75,other
722.5,723,traffic
722.75,723.25,traffic
723,723.5,traffic
723.25,723.75,traffic
723.5,724,traffic
723.75,724.25,traffic
724,724.5,traffic
724.25,724.75,traffic
724.5,725,other
724.75,725.25,bee
725,725.5,other
725.25,725.75,traffic
725.5,726,other
725.75,726.25,traffic
726,726.5,traffic
726.25,726.75,traffic
726.5,727,traffic
726.75,727.25,traffic
727,727.5,other
727.25,727.75,other
727.5,728,traffic
727.75,728.25,traffic
728,728.5,traffic
728.25,728.75,traffic
728.5,729,traffic
728.75,729.25,traffic
729,729.5,traffic
729.25,729.75,traffic
729.5,730,traffic
729.75,730.25,traffic
730,730.5,traffic
730.25,730.75,traffic
730.5,731,traffic
730.75,731.25,other
731,731.5,traffic
731.25,731.75,traffic
731.5,732,other
731.75,732.25,traffic
