Adapted start,Adapted end,Classification,,,,,
0.25,0.75,other,,,,,
0.75,1.25,other,,,,,
1.25,1.75,other,,,,,
1.75,2.25,other,,,,,
2.25,2.75,other,,,,,
2.75,3.25,traffic,,,,,
3.25,3.75,traffic,,,,,
3.75,4.25,other,,,,,
4.25,4.75,traffic,,,,,
4.75,5.25,traffic,,,,,
5.25,5.75,traffic,,,,,
5.75,6.25,traffic,,,,,
6.25,6.75,other,,,,,
6.75,7.25,other,,,,,
7.25,7.75,traffic,,,,,
7.75,8.25,other,,,,,
8.25,8.75,traffic,,,,,
8.75,9.25,other,,,,,
9.25,9.75,other,,,,,
9.75,10.25,other,,,,,
10.25,10.75,other,,,,,
10.75,11.25,other,,,,,
11.25,11.75,other,,,,,
11.75,12.25,traffic,,,,,
12.25,12.75,other,,,,,
12.75,13.25,other,,,,,
13.25,13.75,traffic,,,,,
13.75,14.25,other,,,,,
14.25,14.75,other,,,,,
14.75,15.25,traffic,,,,,
15.25,15.75,traffic,,,,,
15.75,16.25,traffic,,,,,
16.25,16.75,traffic,,,,,
16.75,17.25,traffic,,,,,
17.25,17.75,other,,,,,
17.75,18.25,traffic,,,,,
18.25,18.75,traffic,,,,,
18.75,19.25,traffic,,,,,
19.25,19.75,traffic,,,,,
19.75,20.25,traffic,,,,,
20.25,20.75,traffic,,,,,
20.75,21.25,traffic,,,,,
21.25,21.75,traffic,,,,,
21.75,22.25,other,,,,,
22.25,22.75,traffic,,,,,
22.75,23.25,traffic,,,,,
23.25,23.75,other,,,,,
23.75,24.25,other,,,,,
24.25,24.75,other,,,,,
24.75,25.25,traffic,,,,,
25.25,25.75,traffic,,,,,
25.75,26.25,traffic,,,,,
26.25,26.75,other,,,,,
26.75,27.25,other,,,,,
27.25,27.75,other,,,,,
27.75,28.25,other,,,,,
28.25,28.75,other,,,,,
28.75,29.25,other,,,,,
29.25,29.75,traffic,,,,,
29.75,30.25,traffic,,,,,
30.25,30.75,other,,,,,
30.75,31.25,traffic,,,,,
31.25,31.75,traffic,,,,,
31.75,32.25,traffic,,,,,
32.25,32.75,traffic,,,,,
32.75,33.25,traffic,,,,,
33.25,33.75,traffic,,,,,
33.75,34.25,traffic,,,,,
34.25,34.75,traffic,,,,,
34.75,35.25,traffic,,,,,
35.25,35.75,traffic,,,,,
